field,plain_english_meaning,used_by_record_type,engine_rule,example
record_type,"The kind of source-detail row. This tells the engine how to read the row.","all","Required for every row. Primary values: member, member_alias, role_history, offer, business_event, pc_entry, sp_entry, reward_obligation, pool_entry, cashout_event, qualification_window, qualification_status. Accepted aliases also include members, member_aliases, alias, member_role, offers, business_events, event, pc_entries, pc_ledger, sp_entries, sp_ledger, reward_obligations, reward, pool_entries, pool, cashout_events, cashout, qualification_windows, qualification_status_history.","business_event"
snapshot_id,"The batch ID for this snapshot file.","all","Optional per row, but if filled, every row in the same CSV must use the same snapshot_id. If all rows leave it blank, the engine uses a default ID.","sample-24m-bgc-iblooming-full-detail-csv"
stable_key,"The internal stable member ID used by the simulator.","member","Required only when record_type=member. Leave blank for other record types.","AFF-ALPHA"
display_name,"Human-readable member name.","member","Optional. Used only when record_type=member.","Alpha Founder"
group_key,"Member group or cohort label.","member","Optional. Stored as member metadata and used as group_key when monthly rows are derived.","FOUNDERS"
join_period,"The first month the member joined. Use YYYY-MM format.","member","Recommended for record_type=member. The engine can import without it, but leaving it blank weakens join-period history.","2024-01"
member_stable_key,"Reference to a member stable_key already defined in a member row.","member_alias; role_history; pc_entry; sp_entry; reward_obligation; cashout_event; qualification_window; qualification_status","Required for these record types: member_alias, role_history, pc_entry, sp_entry, reward_obligation, cashout_event, qualification_window, qualification_status. The value must match a member stable_key. Leave blank on member rows because member rows use stable_key instead.","AFF-ALPHA"
source_system,"The source business system where the data came from.","member; member_alias; role_history; offer; business_event","Required for member_alias, offer, and business_event rows. Optional for role_history. Optional on member rows, but if source_system and alias_key are filled on a member row, the engine automatically creates the alias behind the scenes. Accepted values: BGC, IBLOOMING, I-BLOOMING, I_BLOOMING.","BGC"
alias_key,"The member ID in the original source system.","member; member_alias","Required for member_alias. Optional on member rows, but recommended so the engine can create the source-system alias without a separate member_alias row.","BGC-AFF-ALPHA"
alias_type,"The type of source-system alias.","member; member_alias","Optional for member and member_alias rows. If blank while creating an alias, the engine defaults it to member_id.","member_id"
confidence,"Confidence that the alias belongs to this member.","member; member_alias","Optional for member and member_alias rows. If filled, it must be a number from 0 to 1.","1"
role_type,"The category of member role or status.","role_history","Required only when record_type=role_history. Accepted values: AFFILIATE_LEVEL, CP_STATUS, EXECUTIVE_CP_STATUS, WEC_STATUS, CROSS_APP_STATUS.","AFFILIATE_LEVEL"
role_value,"The actual role/status value.","role_history","Required only when record_type=role_history.","PATHFINDER"
effective_from,"The date this role/status starts.","role_history; qualification_status","Required for role_history and qualification_status. Date or ISO date-time accepted.","2024-01-01"
effective_to,"The date this role/status ends.","role_history; qualification_status","Optional. Leave blank if the role/status is still active.","2024-12-31"
source_event_ref,"Reference to the event_ref that caused or supports this row.","role_history; pc_entry; sp_entry; reward_obligation; pool_entry; cashout_event; qualification_window; qualification_status","Optional, but if filled it must match an existing business_event.event_ref in the same CSV. Recommended for audit trail.","EVT-BGC-JOIN-2024-01-AFF-ALPHA"
offer_code,"Unique code for the product, package, or offer.","offer; business_event","Required for offer rows. Optional for business_event rows.","BGC_JOIN_PATHFINDER"
offer_type,"The category of offer.","offer","Required only when record_type=offer. Accepted values: BGC_AFFILIATE_JOIN, BGC_AFFILIATE_UPGRADE, BGC_PHYSICAL_PRODUCT, IB_CP_DIGITAL_PRODUCT, IB_GIM_PRODUCT, IB_IMATRIX_PRODUCT.","BGC_AFFILIATE_JOIN"
